districts,district total:,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 or more"
"District 4, Shelby County, TN",29577,1122,347,478,708,973,767,822,1283,966,1843,2976,3955,3477,2560,2771,4529
"District 10, Shelby County, TN",29523,1916,1505,1307,1737,1468,1411,1444,1328,920,2591,2489,3442,2170,1191,1666,2938
"District 9, Shelby County, TN",28460,3958,2821,2482,1963,1659,1497,1386,1281,1174,1969,1995,2189,1137,823,897,1229
"District 8, Shelby County, TN",28407,5362,3181,2161,1652,1674,1335,1266,1054,874,1914,2082,2058,1146,551,923,1174
"District 2, Shelby County, TN",27837,830,326,345,721,611,473,441,744,1012,1735,2874,4127,3106,2678,3415,4399
"District 13, Shelby County, TN",27391,1733,922,1636,1598,1711,1851,1780,1564,1397,2426,2773,3106,2261,1290,933,410
"District 7, Shelby County, TN",26882,4339,2785,2323,1857,1731,1486,1346,1202,1035,1930,1830,1952,1143,742,539,642
"District 11, Shelby County, TN",26340,2828,2443,2394,2044,1630,2000,1282,1485,1264,1963,2220,2295,1124,600,402,366
"District 5, Shelby County, TN",26200,1178,943,1056,1197,1438,1713,1583,1272,1125,2157,2912,3075,2537,1201,1428,1385
"District 3, Shelby County, TN",26083,602,503,505,646,621,972,757,932,727,1681,3071,4241,3788,2381,2773,1883
"District 6, Shelby County, TN",25331,2853,2128,2380,2059,1828,1811,1310,1392,1280,2063,2238,2016,875,453,388,257
"District 12, Shelby County, TN",24836,2366,2075,1819,1857,1512,1993,1591,1463,1242,2370,2242,2061,1264,541,289,151
"District 1, Shelby County, TN",24327,1047,680,858,841,683,868,1017,851,1170,2602,3232,3710,2285,1943,1523,1017
"District 2, Knox County, TN",23708,1930,1645,1688,1537,1625,1586,1424,1181,1277,1855,2618,2359,1358,567,551,507
"District 6, Knox County, TN",22260,906,450,556,915,676,800,758,908,739,2068,2046,3719,3154,1607,1678,1280
"District 4, Knox County, TN",22030,1244,697,935,819,792,1057,837,922,770,1567,1754,2569,1802,1372,1940,2953
"District 1, Knox County, TN",21569,4149,1860,2096,2154,1505,1313,1119,909,933,1503,1252,1316,599,301,245,315
"District 3, Knox County, TN",21413,940,857,869,939,898,1058,1060,1180,975,1769,2307,3400,2301,964,1089,807
"District 5, Knox County, TN",20651,431,342,199,541,384,465,685,368,428,1390,1771,3030,2701,1915,2585,3416
"District 7, Knox County, TN",19611,1142,707,528,894,867,873,797,837,624,1492,2479,3186,2252,1319,1040,574
"District 8, Knox County, TN",18858,859,656,1033,965,871,1004,988,1292,901,1624,1858,2966,1507,1031,868,435
"District 8, Hamilton County, TN",18661,1022,847,1141,1045,1165,1063,1109,1060,1002,1888,2195,2217,1161,684,643,419
"District 9, Hamilton County, TN",17909,534,535,635,857,817,724,652,553,518,1675,1867,2546,2551,1350,1128,967
"District 9, Knox County, TN",17219,1651,1153,1026,1134,1049,943,888,811,653,1448,1798,2134,1078,474,522,457
"District 7, Hamilton County, TN",16672,459,513,462,610,566,709,682,754,650,985,1373,2311,2462,1355,1252,1529
"District 6, Hamilton County, TN",16313,1540,995,935,887,1003,755,700,784,611,1194,1222,1669,1166,664,865,1323
"District 3, Hamilton County, TN",16143,688,634,597,549,645,856,693,635,656,1184,1795,2329,1734,1157,964,1027
"District 5, Hamilton County, TN",16061,1064,1249,1539,1001,753,1120,1027,1117,704,1447,1497,1715,814,359,305,350
