county,population,number food insecure,percent food insecure,beds_0,beds_1,beds_2,beds_3,beds_4,snap individuals,percent of pop with snap,snap households,wic individuals,percent of pop with wic,county total households,households below national average income,percent of households below national average income,"less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999"
"Anderson County, TN",75129,10160,14%,566,698,855,1114,1405,11131,14%,5372,1167,2%,30541,15168,50%,2111,1671,2121,1532,1880,1537,1380,1698,1238
"Bedford County, TN",45058,5690,13%,554,558,714,937,1161,8416,13%,3755,860,2%,17029,8427,49%,1057,732,936,765,641,1083,1191,1151,871
"Benton County, TN",16489,2450,15%,457,530,619,853,915,2869,15%,1418,364,2%,6762,4275,63%,697,591,602,547,419,318,415,409,277
"Bledsoe County, TN",12876,2200,17%,457,541,619,776,919,2774,17%,1432,257,2%,4894,2705,55%,525,361,248,329,277,280,236,257,192
"Blount County, TN",123010,14160,12%,566,698,855,1114,1405,12164,12%,6217,1736,1%,50557,22379,44%,2762,2277,2190,2630,2704,2547,2818,2260,2191
"Bradley County, TN",98963,13560,14%,513,604,799,1024,1233,15112,14%,7252,2083,2%,40192,19675,49%,2494,2540,1930,2076,2171,2190,1910,2284,2080
"Campbell County, TN",40716,6200,15%,415,468,619,809,1052,9664,15%,5411,996,2%,16192,9665,60%,1487,1298,1184,1217,1111,858,979,715,816
"Cannon County, TN",13801,1700,12%,830,911,1103,1455,1738,2087,12%,1026,315,2%,5488,2475,45%,457,277,265,324,287,223,203,181,258
"Carroll County, TN",28522,4410,15%,457,513,619,776,919,4795,15%,2309,495,2%,10962,6290,57%,1164,629,840,658,774,625,444,691,465
"Carter County, TN",57424,8600,15%,534,552,689,863,980,8914,15%,4390,1029,2%,23784,14649,62%,2322,2098,2114,1271,1826,1434,1249,1269,1066
"Cheatham County, TN",39105,4040,10%,830,911,1103,1455,1738,3875,10%,1752,498,1%,15089,5796,38%,672,487,548,662,662,756,839,602,568
"Chester County, TN",17131,2400,14%,498,634,775,1085,1172,2634,14%,1221,390,2%,6060,2921,48%,400,361,438,239,261,407,277,371,167
"Claiborne County, TN",32213,4780,15%,457,487,619,776,979,6125,15%,3195,628,2%,13281,8365,63%,1772,939,1156,756,935,816,742,679,570
"Clay County, TN",7861,1200,15%,457,481,619,870,919,1563,15%,826,222,3%,3039,1962,65%,400,272,360,177,216,130,115,166,126
"Cocke County, TN",35662,5790,16%,457,468,619,887,919,9126,16%,4861,791,2%,14060,8922,63%,1495,1414,994,1037,863,925,703,898,593
"Coffee County, TN",52796,6660,13%,502,515,681,919,994,8864,13%,4097,1291,2%,21646,10751,50%,1263,1098,1323,1179,1137,1161,1246,1156,1188
"Crockett County, TN",14586,1980,14%,438,509,668,873,1146,2337,14%,1142,393,3%,5491,2929,53%,411,378,282,358,387,322,344,280,167
"Cumberland County, TN",56053,7040,13%,484,487,644,866,898,8172,13%,3949,1310,2%,25801,14022,54%,1890,1495,1385,1760,1483,1523,1628,1435,1423
"Davidson County, TN",626681,103900,17%,830,911,1103,1455,1738,76307,17%,34748,13549,2%,282366,116466,41%,16605,10583,11270,12562,12793,13272,13224,13290,12867
"Decatur County, TN",18723,2690,14%,457,468,619,895,919,3287,14%,1644,437,2%,7704,4172,54%,727,417,444,595,330,499,336,475,349
"DeKalb County, TN",11757,1690,14%,457,541,619,776,919,2047,14%,1057,229,2%,4440,2619,59%,337,464,330,326,270,245,170,256,221
"Dickson County, TN",49666,6210,13%,830,911,1103,1455,1738,6745,13%,3294,999,2%,19198,8883,46%,1122,930,851,967,1058,1065,802,1159,929
"Dyer County, TN",38335,6050,16%,473,485,642,928,971,7687,16%,3753,861,2%,15120,8271,55%,1446,875,1004,973,1002,724,838,849,560
"Fayette County, TN",38413,5690,15%,658,742,875,1194,1372,5294,15%,2730,564,1%,15596,6342,41%,1086,626,762,745,830,663,523,642,465
"Fentress County, TN",17959,2660,15%,457,541,619,830,1058,4193,15%,2290,505,3%,7443,4919,66%,719,547,567,542,525,636,433,492,458
"Franklin County, TN",41052,5150,13%,457,468,619,895,1060,4609,13%,2207,615,1%,16326,7865,48%,1053,1121,862,861,865,809,910,638,746
"Gibson County, TN",49683,7840,16%,457,542,620,846,1022,8501,16%,4132,1028,2%,19320,10845,56%,1566,1547,1285,1156,1250,1211,1076,948,806
"Giles County, TN",29485,3920,13%,457,541,619,842,1027,4057,13%,2043,486,2%,11904,5994,50%,775,684,965,553,560,778,619,603,457
"Grainger County, TN",22657,2970,13%,427,554,637,842,861,3681,13%,1768,539,2%,8959,4984,56%,583,716,560,719,556,462,499,477,412
"Greene County, TN",68831,9230,13%,472,475,619,812,968,8944,13%,4502,1483,2%,27396,15427,56%,2226,1920,1993,1970,1674,1649,1497,1429,1069
