county,district,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999"
Anderson,District 1,218,190,170,273,254,150,186,117,167
Anderson,District 2,381,406,282,212,259,218,162,229,224
Anderson,District 3,106,119,298,115,413,254,100,232,253
Anderson,District 4,336,251,429,171,209,175,196,110,60
Anderson,District 5,265,163,322,191,187,121,215,335,35
Anderson,District 6,262,235,216,149,235,275,229,253,164
Anderson,District 7,312,241,149,246,200,218,171,223,171
Anderson,District 8,231,66,255,175,123,126,121,199,164
Bedford,District 1,124,53,48,66,77,34,87,66,100
Bedford,District 2,28,91,121,43,10,147,112,164,59
Bedford,District 3,112,106,35,109,54,72,221,97,104
Bedford,District 4,207,73,175,54,86,86,79,61,91
Bedford,District 5,11,37,64,92,84,79,115,168,93
Bedford,District 6,154,138,121,156,158,140,88,103,89
Bedford,District 7,66,27,101,67,73,158,163,115,79
Bedford,District 8,292,117,173,56,34,181,270,254,62
Bedford,District 9,63,90,98,122,65,186,56,123,194
Benton,District 1,122,64,94,52,84,68,58,101,34
Benton,District 2,96,73,72,142,45,41,133,68,15
Benton,District 3,122,133,95,56,67,68,51,64,90
Benton,District 4,112,150,121,68,46,22,38,8,38
Benton,District 5,79,87,142,136,126,86,50,79,26
Benton,District 6,166,84,78,93,51,33,85,89,74
Bledsoe,District 1,71,52,28,99,71,46,8,26,47
Bledsoe,District 2,123,14,25,41,10,71,63,13,58
Bledsoe,District 3,77,82,66,59,36,63,76,52,17
Bledsoe,District 4,114,105,107,49,51,72,51,36,8
Bledsoe,District 5,62,93,22,25,49,14,24,38,33
Bledsoe,District 6,78,15,0,56,60,14,14,92,29
Blount,District 1,480,316,279,248,317,366,205,279,206
Blount,District 10,173,158,274,270,278,249,375,321,250
Blount,District 2,293,262,160,392,322,223,173,199,186
Blount,District 3,359,182,100,352,203,133,421,165,233
Blount,District 4,302,124,501,291,334,402,616,281,292
Blount,District 5,234,169,215,125,158,194,223,134,71
Blount,District 6,280,238,47,281,304,276,168,293,285
Blount,District 7,264,267,230,215,207,251,138,195,310
Blount,District 8,176,262,262,238,232,278,265,157,210
Blount,District 9,201,299,122,218,349,175,234,236,148
Bradley,District 1,249,360,206,205,390,460,165,321,196
Bradley,District 2,109,204,179,182,300,73,239,301,460
Bradley,District 3,524,433,389,460,374,193,420,515,275
Bradley,District 4,163,182,302,280,268,469,189,254,354
Bradley,District 5,758,532,198,351,334,315,350,312,318
Bradley,District 6,232,633,443,276,166,318,226,265,234
Bradley,District 7,459,196,213,322,339,362,321,316,243
Campbell,District 1,296,268,311,244,228,269,150,226,137
Campbell,District 2,360,260,160,241,216,157,296,86,152
Campbell,District 3,127,257,188,331,188,139,173,79,226
Campbell,District 4,282,203,186,218,264,130,145,209,144
Campbell,District 5,422,310,339,183,215,163,215,115,157
Cannon,District 1,115,65,14,79,61,55,19,44,19
Cannon,District 2,120,68,91,78,19,21,28,25,35
Cannon,District 3,48,52,40,23,34,40,15,25,23
Cannon,District 4,48,0,53,66,120,44,32,36,110
Cannon,District 5,126,92,67,78,53,63,109,51,71
Carroll,District 1,91,92,148,127,212,83,40,57,71
Carroll,District 2,163,41,74,53,35,64,53,103,32
Carroll,District 3,94,79,61,84,49,49,36,31,34
Carroll,District 4,63,93,63,79,76,82,14,49,100
Carroll,District 5,283,125,163,30,69,33,96,96,13
Carroll,District 6,62,50,108,64,42,73,38,67,54
