county,county total households
Anderson,30541
Bedford,17029
Benton,6762
Bledsoe,4894
Blount,50557
Bradley,40192
Campbell,16192
Cannon,5488
Carroll,10962
Carter,23784
Cheatham,15089
Chester,6060
Claiborne,13281
Clay,3039
Cocke,14060
Coffee,21646
Crockett,5491
Cumberland,25801
Davidson,282366
Decatur,4440
DeKalb,7704
Dickson,19198
Dyer,15120
Fayette,15596
Fentress,7443
Franklin,16326
Gibson,19320
Giles,11904
Grainger,8959
Greene,27396
Grundy,4820
Hamblen,24456
Hamilton,145213
Hancock,2742
Hardeman,8891
Hardin,10137
Hawkins,23135
Haywood,7181
Henderson,10711
Henry,13394
Hickman,8636
Houston,2878
Humphreys,6763
Jackson,4566
Jefferson,20154
Johnson,6794
Knox,187319
Lake,2243
Lauderdale,9675
Lawrence,15960
Lewis,4715
Lincoln,13548
Loudon,20669
Macon,9170
Madison,37944
Marion,11477
Marshall,12324
Maury,34688
McMinn,20804
McNairy,10022
Meigs,4938
Monroe,17987
Montgomery,72617
Moore,2592
Morgan,7625
Obion,12717
Overton,9140
Perry,3073
Pickett,2281
Polk,7383
Putnam,31424
Rhea,12177
Roane,20901
Robertson,25713
Rutherford,111676
Scott,8664
Sequatchie,5528
Sevier,37210
Shelby,351194
Smith,7603
Stewart,5178
Sullivan,66511
Sumner,67089
Tipton,21452
Trousdale,3189
Unicoi,7658
Union,7405
Van Buren,2141
Warren,15727
Washington,53859
Wayne,5764
Weakley,13640
White,10048
Williamson,77855
Wilson,49664
