county,# Food Insecure,% Food Insecure
Anderson,10160,13.4
Bedford,5690,12.3
Benton,2450,15.2
Bledsoe,2200,15.6
Blount,14160,11.2
Bradley,13560,13.2
Campbell,6200,15.5
Cannon,1700,12.3
Carroll,4410,15.5
Carter,8600,15.2
Cheatham,4040,10.2
Chester,2400,13.8
Claiborne,4780,15.1
Clay,1200,15.4
Cocke,5790,16.4
Coffee,6660,12.4
Crockett,1980,13.6
Cumberland,7040,12.2
Davidson,103900,15.6
Decatur,1690,14.5
DeKalb,2690,14
Dickson,6210,12.2
Dyer,6050,15.9
Fayette,5690,14.6
Fentress,2660,14.8
Franklin,5150,12.5
Gibson,7840,15.8
Giles,3920,13.5
Grainger,2970,13
Greene,9230,13.5
Grundy,2220,16.5
Hamblen,8420,13.3
Hamilton,50180,14.3
Hancock,1110,16.8
Hardeman,5290,20.4
Hardin,3750,14.5
Hawkins,7630,13.5
Haywood,3870,21.3
Henderson,4370,15.6
Henry,4700,14.6
Hickman,3430,14.1
Houston,1230,15
Humphreys,2450,13.5
Jackson,1800,15.6
Jefferson,6420,12.1
Johnson,2780,15.5
Knox,59550,13.3
Lake,1690,22.1
Lauderdale,5880,21.6
Lawrence,5760,13.6
Lewis,1650,13.8
Lincoln,4370,13
Loudon,5070,10
Macon,2790,12.2
Madison,17900,18.2
Marion,3990,14.1
Marshall,3840,12.2
Maury,10880,12.7
McMinn,7160,13.6
McNairy,4160,16
Meigs,1640,13.9
Monroe,5910,13
Montgomery,27430,14.5
Moore,640,10.1
Morgan,3250,15
Obion,5030,16.3
Overton,2940,13.3
Perry,1260,15.9
Pickett,630,12.5
Polk,2140,12.8
Putnam,11170,15
Rhea,5000,15.4
Roane,6780,12.8
Robertson,6880,10.1
Rutherford,34810,12
Scott,3800,17.2
Sequatchie,1800,12.2
Sevier,11300,12
Shelby,198610,21.2
Smith,2330,12.2
Stewart,1840,13.9
Sullivan,20220,12.9
Sumner,17550,10.2
Tipton,8770,14.3
Trousdale,1010,12.7
Unicoi,2580,14.4
Union,2760,14.5
Van Buren,700,12.5
Warren,5140,12.8
Washington,16860,13.4
Wayne,2330,13.9
Weakley,5160,15.2
White,3350,12.7
Williamson,14450,7
Wilson,12130,9.7
