,housing
0,"Housing units,  July 1, 2019,  (V2019)"
1,"3,028,213"
2,"Owner-occupied housing unit rate, 2015-2019"
3,66.3%
4,"Median value of owner-occupied housing units, 2015-2019"
5,"$167,200"
6,"Median selected monthly owner costs -with a mortgage, 2015-2019"
7,"$1,244"
8,"Median selected monthly owner costs -without a mortgage, 2015-2019"
9,$388
10,"Median gross rent, 2015-2019"
11,$869
12,"Building permits, 2020"
13,"49,719"
14,Families & Living Arrangements
15,"Households, 2015-2019"
16,"2,597,292"
17,"Persons per household, 2015-2019"
18,2.52
19,"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019"
20,85.5%
21,"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019"
22,7.2%
23,Computer and Internet Use
24,"Households with a computer, percent, 2015-2019"
25,87.1%
26,"Households with a broadband Internet subscription, percent, 2015-2019"
27,78.4%
