source link,Year,County,Value,LastReportedDate
https://data.tn.gov/dataset/poverty-rate,2015,Anderson,0.17,1/30/2019
,2015,Bedford,0.17,1/30/2019
,2015,Benton,0.22,1/30/2019
,2015,Bledsoe,0.21,1/30/2019
,2015,Blount,0.14,1/30/2019
,2015,Bradley,0.19,1/30/2019
,2015,Campbell,0.23,1/30/2019
,2015,Cannon,0.18,1/30/2019
,2015,Carroll,0.2,1/30/2019
,2015,Carter,0.23,1/30/2019
,2015,Cheatham,0.13,1/30/2019
,2015,Chester,0.21,1/30/2019
,2015,Claiborne,0.21,1/30/2019
,2015,Clay,0.23,1/30/2019
,2015,Cocke,0.26,1/30/2019
,2015,Coffee,0.18,1/30/2019
,2015,Crockett,0.19,1/30/2019
,2015,Cumberland,0.16,1/30/2019
,2015,Davidson,0.18,1/30/2019
,2015,Decatur,0.21,1/30/2019
,2015,DeKalb,0.2,1/30/2019
,2015,Dickson,0.16,1/30/2019
,2015,Dyer,0.17,1/30/2019
,2015,Fayette,0.13,1/30/2019
,2015,Fentress,0.26,1/30/2019
,2015,Franklin,0.17,1/30/2019
,2015,Gibson,0.18,1/30/2019
,2015,Giles,0.16,1/30/2019
,2015,Grainger,0.2,1/30/2019
,2015,Greene,0.2,1/30/2019
,2015,Grundy,0.28,1/30/2019
,2015,Hamblen,0.21,1/30/2019
,2015,Hamilton,0.16,1/30/2019
,2015,Hancock,0.27,1/30/2019
,2015,Hardeman,0.24,1/30/2019
,2015,Hardin,0.23,1/30/2019
,2015,Hawkins,0.19,1/30/2019
,2015,Haywood,0.22,1/30/2019
,2015,Henderson,0.21,1/30/2019
,2015,Henry,0.18,1/30/2019
,2015,Hickman,0.2,1/30/2019
,2015,Houston,0.23,1/30/2019
,2015,Humphreys,0.15,1/30/2019
,2015,Jackson,0.26,1/30/2019
,2015,Jefferson,0.16,1/30/2019
,2015,Johnson,0.25,1/30/2019
,2015,Knox,0.16,1/30/2019
,2015,Lake,0.27,1/30/2019
,2015,Lauderdale,0.26,1/30/2019
,2015,Lawrence,0.2,1/30/2019
,2015,Lewis,0.19,1/30/2019
,2015,Lincoln,0.16,1/30/2019
,2015,Loudon,0.14,1/30/2019
,2015,Macon,0.18,1/30/2019
,2015,Madison,0.19,1/30/2019
,2015,Marion,0.19,1/30/2019
,2015,Marshall,0.16,1/30/2019
,2015,Maury,0.15,1/30/2019
,2015,McMinn,0.19,1/30/2019
,2015,Mcnairy,0.2,1/30/2019
,2015,Meigs,0.2,1/30/2019
,2015,Monroe,0.19,1/30/2019
,2015,Montgomery,0.15,1/30/2019
,2015,Moore,0.1,1/30/2019
,2015,Morgan,0.22,1/30/2019
,2015,Obion,0.2,1/30/2019
,2015,Overton,0.21,1/30/2019
,2015,Perry,0.25,1/30/2019
,2015,Pickett,0.16,1/30/2019
,2015,Polk,0.18,1/30/2019
,2015,Putnam,0.25,1/30/2019
,2015,Rhea,0.24,1/30/2019
,2015,Roane,0.18,1/30/2019
,2015,Robertson,0.12,1/30/2019
,2015,Rutherford,0.12,1/30/2019
,2015,Scott,0.27,1/30/2019
,2015,Sequatchie,0.16,1/30/2019
,2015,Sevier,0.15,1/30/2019
,2015,Shelby,0.21,1/30/2019
,2015,Smith,0.16,1/30/2019
,2015,Stewart,0.19,1/30/2019
,2015,Sullivan,0.17,1/30/2019
,2015,Sumner,0.09,1/30/2019
,2015,Tennessee,0.17,1/30/2019
,2015,Tipton,0.13,1/30/2019
,2015,Trousdale,0.17,1/30/2019
,2015,Unicoi,0.22,1/30/2019
,2015,Union,0.21,1/30/2019
,2015,VanBuren,0.18,1/30/2019
,2015,Warren,0.21,1/30/2019
,2015,Washington,0.18,1/30/2019
,2015,Wayne,0.21,1/30/2019
