source link,Category,Date,County,Value,LastReportedDate
https://data.tn.gov/dataset/snap-enrollment,Households,9/1/2017,Anderson,6126,10/25/2018
,Households,9/1/2017,Bedford,4398,10/25/2018
,Households,9/1/2017,Benton,1540,10/25/2018
,Households,9/1/2017,Bledsoe,1462,10/25/2018
,Households,9/1/2017,Blount,7603,10/25/2018
,Households,9/1/2017,Bradley,7841,10/25/2018
,Households,9/1/2017,Campbell,5719,10/25/2018
,Households,9/1/2017,Cannon,1114,10/25/2018
,Households,9/1/2017,Carroll,2765,10/25/2018
,Households,9/1/2017,Carter,5181,10/25/2018
,Households,9/1/2017,Cheatham,1946,10/25/2018
,Households,9/1/2017,Chester,1373,10/25/2018
,Households,9/1/2017,Claiborne,3488,10/25/2018
,Households,9/1/2017,Clay,921,10/25/2018
,Households,9/1/2017,Cocke,5147,10/25/2018
,Households,9/1/2017,Coffee,4523,10/25/2018
,Households,9/1/2017,Crockett,1273,10/25/2018
,Households,9/1/2017,Cumberland,4480,10/25/2018
,Households,9/1/2017,Davidson,37511,10/25/2018
,Households,9/1/2017,Decatur,1184,10/25/2018
,Households,9/1/2017,DeKalb,1919,10/25/2018
,Households,9/1/2017,Dickson,3743,10/25/2018
,Households,9/1/2017,Dyer,3977,10/25/2018
,Households,9/1/2017,Fayette,3205,10/25/2018
,Households,9/1/2017,Fentress,2379,10/25/2018
,Households,9/1/2017,Franklin,2405,10/25/2018
,Households,9/1/2017,Gibson,4550,10/25/2018
,Households,9/1/2017,Giles,2221,10/25/2018
,Households,9/1/2017,Grainger,2093,10/25/2018
,Households,9/1/2017,Greene,5138,10/25/2018
,Households,9/1/2017,Grundy,1964,10/25/2018
,Households,9/1/2017,Hamblen,5478,10/25/2018
,Households,9/1/2017,Hamilton,26034,10/25/2018
,Households,9/1/2017,Hancock,1325,10/25/2018
,Households,9/1/2017,Hardeman,2729,10/25/2018
,Households,9/1/2017,Hardin,2999,10/25/2018
,Households,9/1/2017,Hawkins,5299,10/25/2018
,Households,9/1/2017,Haywood,2483,10/25/2018
,Households,9/1/2017,Henderson,2875,10/25/2018
,Households,9/1/2017,Henry,3229,10/25/2018
,Households,9/1/2017,Hickman,2255,10/25/2018
,Households,9/1/2017,Houston,665,10/25/2018
,Households,9/1/2017,Humphreys,1372,10/25/2018
,Households,9/1/2017,Jackson,1260,10/25/2018
,Households,9/1/2017,Jefferson,3986,10/25/2018
,Households,9/1/2017,Johnson,2069,10/25/2018
,Households,9/1/2017,Knox,25454,10/25/2018
,Households,9/1/2017,Lake,1066,10/25/2018
,Households,9/1/2017,Lauderdale,3143,10/25/2018
,Households,9/1/2017,Lawrence,3370,10/25/2018
,Households,9/1/2017,Lewis,1044,10/25/2018
,Households,9/1/2017,Lincoln,2299,10/25/2018
,Households,9/1/2017,Loudon,2505,10/25/2018
,Households,9/1/2017,Macon,2521,10/25/2018
,Households,9/1/2017,Madison,8445,10/25/2018
,Households,9/1/2017,Marion,2662,10/25/2018
,Households,9/1/2017,Marshall,2009,10/25/2018
,Households,9/1/2017,Maury,5315,10/25/2018
,Households,9/1/2017,McMinn,1315,10/25/2018
,Households,9/1/2017,Mcnairy,4194,10/25/2018
,Households,9/1/2017,Meigs,10739,10/25/2018
,Households,9/1/2017,Monroe,238,10/25/2018
,Households,9/1/2017,Montgomery,2178,10/25/2018
,Households,9/1/2017,Moore,4520,10/25/2018
,Households,9/1/2017,Morgan,2835,10/25/2018
,Households,9/1/2017,Obion,3141,10/25/2018
,Households,9/1/2017,Overton,1884,10/25/2018
,Households,9/1/2017,Perry,735,10/25/2018
,Households,9/1/2017,Pickett,412,10/25/2018
,Households,9/1/2017,Polk,1414,10/25/2018
,Households,9/1/2017,Putnam,5613,10/25/2018
,Households,9/1/2017,Rhea,3372,10/25/2018
,Households,9/1/2017,Roane,4194,10/25/2018
,Households,9/1/2017,Robertson,3913,10/25/2018
,Households,9/1/2017,Rutherford,12192,10/25/2018
,Households,9/1/2017,Scott,3413,10/25/2018
,Households,9/1/2017,Sequatchie,1566,10/25/2018
,Households,9/1/2017,Sevier,5535,10/25/2018
,Households,9/1/2017,Shelby,106690,10/25/2018
,Households,9/1/2017,Smith,1398,10/25/2018
,Households,9/1/2017,Stewart,943,10/25/2018
